Timestamp,Fecha nacimiento,Sexo biológico,Maximo nivel educacional completado,Confío en las tendencias de largo plazo mas que en los eventos recientes para tomar decisiones,Es necesario que reciba mucha evidencia para cambiar mi opinión sobre algún tema ,Fallar una vez no me convence de que una estrategia previamente exitosa ahora no sirve ,Prefiero formar mis juicios sobre las cosas de manera lenta y ponderada.,"Me aburro si tengo que tomar la misma elección una y otra vez, aunque sepa que esta es la correcta",Siempre elijo la opción que ha tenido los mejores resultados.,Mi curiosidad por opciones desconocidas influye en mi decisión.,Es inventivo,"Es original, se le ocurren ideas nuevas","Valora lo artístico, lo estético",Tiene una imaginación activa,"Le gusta reflexionar, jugar con las ideas","Es educado en arte, música, o literatura","En ingenioso, analítico",Tiene intereses muy diversos,Prefiere trabajos que son rutinarios,Tiene poco intereses artísticos,Es minucioso en el trabajo,Hace las cosas de manera eficiente,Hace planes y los sigue cuidadosamente,"Es un trabajador cumplidor, de confianza",Persevera hasta terminar el trabajo,Se distrae con facilidad,Puede a veces ser algo descuidado,"Tiende a ser flojo, vago",Tiende a ser desorganizado
6/21/2025 14:24:41,8/5/1999,Femenino,Universitaria (pre-grado),De acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,Neutral,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo
6/21/2025 15:29:23,1/3/1997,Femenino,Escolar media (completa),De acuerdo,Neutral,De acuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,En desacuerdo,En desacuerdo,De acuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Neutral,Neutral,Neutral,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Neutral,En desacuerdo,En desacuerdo,Totalmente en desacuerdo
6/21/2025 15:45:52,12/2/1995,Masculino,Universitaria (pre-grado),De acuerdo,En desacuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,Neutral,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,Totalmente de acuerdo
6/21/2025 15:52:43,4/29/2002,Masculino,Escolar media (completa),De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Totalmente en desacuerdo,De acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo
6/21/2025 15:53:56,4/23/1993,Femenino,Universitaria (post-grado),De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,Totalmente en desacuerdo,En desacuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,En desacuerdo
6/21/2025 16:04:15,10/27/1992,Masculino,Universitaria (post-grado),De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Neutral,Neutral,De acuerdo,Neutral,De acuerdo,Neutral,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo
6/21/2025 16:05:11,6/29/1974,Femenino,Universitaria (post-grado),De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral
6/21/2025 16:06:40,10/1/1988,Femenino,Universitaria (pre-grado),De acuerdo,Neutral,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,En desacuerdo
6/21/2025 16:07:55,3/9/1989,Femenino,Universitaria (pre-grado),Neutral,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,Totalmente en desacuerdo,De acuerdo,Neutral,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral
6/21/2025 16:09:53,7/14/1987,Masculino,Universitaria (pre-grado),Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,En desacuerdo,Totalmente en desacuerdo
6/21/2025 16:20:06,10/6/2006,Masculino,Escolar media (completa),Neutral,De acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo
6/21/2025 16:20:18,11/10/2010,Femenino,Escolar media (completa),De acuerdo,Neutral,En desacuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,De acuerdo,Neutral,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,Neutral,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral
6/21/2025 16:22:45,5/19/2007,Femenino,Escolar media (completa),De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,De acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,En desacuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral,Neutral
6/21/2025 16:32:41,6/29/1996,Masculino,Universitaria (post-grado),De acuerdo,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Neutral,Neutral,Totalmente en desacuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral
6/21/2025 16:35:17,8/2/1999,Femenino,Universitaria (pre-grado),De acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Neutral,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo
6/21/2025 16:52:48,7/18/2000,Masculino,Universitaria (pre-grado),De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
6/21/2025 16:57:09,12/20/2004,Femenino,Escolar media (completa),De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,En desacuerdo
6/21/2025 17:10:44,10/2/2001,Femenino,Universitaria (pre-grado),Neutral,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Neutral,Totalmente en desacuerdo,De acuerdo,De acuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,Neutral
6/21/2025 17:25:12,2/3/1991,Femenino,Universitaria (post-grado),Neutral,Neutral,Totalmente en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,Totalmente en desacuerdo,En desacuerdo
6/21/2025 17:32:43,2/14/1996,Femenino,Universitaria (pre-grado),Neutral,De acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral
6/21/2025 20:01:48,1/23/1965,Femenino,Universitaria (post-grado),De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Neutral,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Neutral
6/23/2025 9:45:25,9/15/1998,Masculino,Universitaria (pre-grado),Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,Neutral
6/23/2025 11:08:42,11/24/1994,Femenino,Universitaria (post-grado),Neutral,De acuerdo,Neutral,De acuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral,Neutral
6/23/2025 11:33:10,6/2/1998,Masculino,Universitaria (pre-grado),Neutral,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Neutral,Totalmente en desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo
6/23/2025 11:46:06,2/2/2001,Masculino,Escolar media (completa),Neutral,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,En desacuerdo
6/23/2025 11:56:33,11/14/1989,Femenino,Universitaria (post-grado),Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo
6/23/2025 12:05:30,5/2/2002,Femenino,Escolar media (completa),Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo
6/23/2025 12:25:25,3/6/1981,Masculino,Universitaria (pre-grado),Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo
6/23/2025 12:27:53,3/13/1999,Masculino,Universitaria (pre-grado),Neutral,De acuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,Totalmente de acuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,De acuerdo,De acuerdo
6/23/2025 13:29:45,2/15/1980,Femenino,Universitaria (post-grado),Totalmente de acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,Neutral,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo
6/23/2025 13:59:36,5/9/2002,Masculino,Universitaria (pre-grado),De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,Neutral
6/23/2025 18:33:34,8/27/1985,Femenino,Universitaria (post-grado),De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral
6/23/2025 18:33:44,4/13/1999,Femenino,Universitaria (pre-grado),De acuerdo,En desacuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,Neutral,En desacuerdo
6/24/2025 7:19:06,9/12/2000,Masculino,Universitaria (pre-grado),De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Neutral,En desacuerdo,Neutral,En desacuerdo,Neutral,De acuerdo,De acuerdo,Neutral,De acuerdo,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,En desacuerdo,En desacuerdo